gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
1437814459,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:04639011,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Anderss.,BE,,,,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,51.2198,5.36382,700,,,,,,2015-01-02T00:00:00Z,2,1,2015,2706026,2706026,HUMAN_OBSERVATION,INBO,,4639011,,,,CC0_1_0,,Indra Jacobs,,,2019-09-21T00:21:03.425Z,,
1437793680,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:04616958,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Anderss.,BE,,,,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,50.9633,4.30493,700,,,,,,2015-08-01T00:00:00Z,1,8,2015,2706026,2706026,HUMAN_OBSERVATION,INBO,,4616958,,,,CC0_1_0,,Leo Van Herbruggen;Jan Baeteman;Karel De Waele;Luc Allemeersch;Paul Van Elewijck;Willy Herreman; Nationale werkgroep botanie Natuurpunt;André Van Den Bergh;Jean De Prez;Daniël Dewit;Roland Werbrouck;Hedwige Lecomte;Annie Bracke;Harry Vandecnocke;Johan Peelman;Julien De Roover;Joris De Winter;Wilfried Tierens;Jef De Cuyper;Chris De Caluwé,,,2019-09-21T00:21:02.944Z,,REFERENCES_URI_INVALID
1437785506,271c444f-f8d8-4986-b748-e7367755c0c1,INBO:FLORA:04608699,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,,,GENUS,Miscanthus Andersson,Miscanthus,,BE,,,,,1cd669d0-80ea-11de-a9d0-f1765f95f18b,50.96283,4.7035,700,,,,,,2016-02-11T00:00:00Z,11,2,2016,2706020,,HUMAN_OBSERVATION,INBO,,4608699,,,,CC0_1_0,,Alain Pieters,,,2019-09-21T00:21:02.226Z,,REFERENCES_URI_INVALID
1436428856,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:63819861,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,,,GENUS,Miscanthus Andersson,Miscanthus,Andersson,SE,"Andersberg, parkförvaltningens jordupplag, 1 km väster Bengtstorp.",,Present,,b8323864-602a-4a7d-9127-bb903054e97d,56.660159,12.905781,25,,,,,,2006-08-20T00:00:00Z,20,8,2006,2706020,,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,104605432,,,,CC0_1_0,Charlotte Wigermo,"Charlotte Wigermo, Åke Svensson, Bengt Nilsson",,,2019-09-21T00:21:02.126Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1436271389,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:63651088,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,Västra hamnen,,Present,,b8323864-602a-4a7d-9127-bb903054e97d,55.616807,12.976685,100,,,,,,2004-11-11T00:00:00Z,11,11,2004,2706026,2706026,HUMAN_OBSERVATION,Lunds Botaniska förening,Artportalen,104479985,SkFlora    881323,! Kjell-Arne Olsson (KAO) BelNr:0/kastad,,CC0_1_0,Lunds Botaniska förening,Genom Stefan Andersson,,,2019-09-21T00:21:03.961Z,,GEODETIC_DATUM_ASSUMED_WGS84
1436268768,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:63648491,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,Bo 01,,Present,,b8323864-602a-4a7d-9127-bb903054e97d,55.614083,12.975293,100,,,,,,2001-09-19T00:00:00Z,19,9,2001,2706026,2706026,HUMAN_OBSERVATION,Lunds Botaniska förening,Artportalen,104479132,SkFlora    695631,! Torbjörn Tyler (TTy) BelNr:1/LD,,CC0_1_0,Lunds Botaniska förening,Genom Stefan Andersson,,,2019-09-21T00:21:04.062Z,,GEODETIC_DATUM_ASSUMED_WGS84
1436236005,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:63614864,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,Filbornatippen,,Present,,b8323864-602a-4a7d-9127-bb903054e97d,56.067431,12.768644,100,,,,,,2005-09-11T00:00:00Z,11,9,2005,2706026,2706026,HUMAN_OBSERVATION,Lunds Botaniska förening,Artportalen,104441689,SkFlora    907766,! Bengt Nilsson (BeN) BelNr:0/i fält,,CC0_1_0,Lunds Botaniska förening,Bengt Nilsson,,,2019-09-21T00:21:03.125Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1433359132,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:62181818,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,,,GENUS,Miscanthus Andersson,Miscanthus,Andersson,SE,"Sylten, ruderatmark 50 m NV parkeringen",,Present,,b8323864-602a-4a7d-9127-bb903054e97d,58.592074,16.21045,25,,,,,,2016-10-16T00:00:00Z,16,10,2016,2706020,,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,102400582,,,,CC0_1_0,Tommy Tyrberg,"Tommy Tyrberg, Anna Kaman",,,2019-09-21T00:21:02.844Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1432870471,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:61570539,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,"Moskogens avfallsanläggning, Kalmar",,Present,,b8323864-602a-4a7d-9127-bb903054e97d,56.696311,16.177643,10,,,,,,2016-09-01T00:00:00Z,1,9,2016,2706026,2706026,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,101674134,,,,CC0_1_0,Anders Svenson,Anders Svenson,,,2019-09-21T00:21:02.482Z,,GEODETIC_DATUM_ASSUMED_WGS84
1432766586,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:61441808,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,Övraby kyrkoruin - Slottsmöllan,,Present,,b8323864-602a-4a7d-9127-bb903054e97d,56.696435,12.874089,400,,,,,,2016-09-03T00:00:00Z,3,9,2016,2706026,2706026,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,101555060,,,,CC0_1_0,Per Wahlén,Per Wahlén,,,2019-09-21T00:21:04.443Z,,GEODETIC_DATUM_ASSUMED_WGS84
1432713673,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:61374347,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,"Stubbetorpsdammen, N Edestad",,Present,,b8323864-602a-4a7d-9127-bb903054e97d,56.22997,15.382383,10,,,,,,2016-09-10T00:00:00Z,10,9,2016,2706026,2706026,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,101498650,,,,CC0_1_0,Åke Widgren,Åke Widgren,,,2019-09-21T00:21:04.006Z,,GEODETIC_DATUM_ASSUMED_WGS84
1432624108,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:61265053,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,"Filborna soptipp, 350 m NNV Rökille",,Present,,b8323864-602a-4a7d-9127-bb903054e97d,56.067897,12.769408,50,,,,,,2005-09-11T00:00:00Z,11,9,2005,2706026,2706026,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,101390856,,,,CC0_1_0,Charlotte Wigermo,"Charlotte Wigermo, Åke Svensson, Bengt Nilsson",,,2019-09-21T00:21:05.224Z,,GEODETIC_DATUM_ASSUMED_WGS84
1432151161,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:60700966,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,,,GENUS,Miscanthus Andersson,Miscanthus,Andersson,SE,"Peppinge kvarn, 1300 m S",,Present,,b8323864-602a-4a7d-9127-bb903054e97d,55.4059,14.068677,75,,,,,,2016-07-05T00:00:00Z,5,7,2016,2706020,,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,100869543,,,,CC0_1_0,Kerstin Svensson,Kerstin Svensson,,,2019-09-21T00:21:02.724Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1432105277,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:60651006,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,Gimle grustag och skog,,Present,,b8323864-602a-4a7d-9127-bb903054e97d,56.731853,12.889962,500,,,,,,2016-07-06T00:00:00Z,6,7,2016,2706026,2706026,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,100792158,,,,CC0_1_0,Per Wahlén,Per Wahlén,,,2019-09-21T00:21:03.337Z,,GEODETIC_DATUM_ASSUMED_WGS84
1431887198,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:60408099,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,Vattenfalls gamla tomt,,Present,,b8323864-602a-4a7d-9127-bb903054e97d,58.537859,15.963602,5,,,,,,2016-07-03T00:00:00Z,3,7,2016,2706026,2706026,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,100551680,,,,CC0_1_0,Thomas Strid,Thomas Strid,,,2019-09-21T00:21:05.042Z,,GEODETIC_DATUM_ASSUMED_WGS84;COORDINATE_ROUNDED
1431845301,38b4c89f-584c-41bb-bd8f-cd1def33e92f,urn:lsid:artportalen.se:Sighting:60359320,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Miscanthus,Miscanthus sinensis,,SPECIES,Miscanthus sinensis Andersson,Miscanthus sinensis,Andersson,SE,Kimstad (Forsby mot S),,Present,,b8323864-602a-4a7d-9127-bb903054e97d,58.537902,15.963638,25,,,,,,2016-06-30T00:00:00Z,30,6,2016,2706026,2706026,HUMAN_OBSERVATION,ArtDatabanken,Artportalen,100513275,,,,CC0_1_0,Bengt Westman,Bengt Westman,,,2019-09-21T00:21:04.866Z,,GEODETIC_DATUM_ASSUMED_WGS84
